PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
31708,159.902147,47.397926,0,35.122,5.8681,-0.028479922344063338,L19,FUV+WISE4,9.851520077655938,L19,SSFRLIKE,8.69645179443807,MZ/C20,13.957465171813965,12.981252670288086,12.528047561645508,,12.138591766357422,13.0720996856689,0.01930149458348751,0.0014159601414576173,0.0011683801421895623,,0.009650897234678268,0.00360599998384714,NNNMNP,111211,3.0,PH,0.35241187306718796,0.09451446621176476,0.048447366048138214,0.4621428415181896,0.04248345315471943,,,,,,-0.028479922344063338,0.9365265149931343,9.851520077655938,7.104280126940258E9,1.3182567385564044E-10,-9.88,15351
30038,154.2798,-33.423199,1,38.68018426827623,9.88177,,,,,,,,,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,,,,,,,15366
5808665,341.642506,12.518332,1,39.60781278306736,10.056458,,,,7.221215293465464,K23,g_r_PSDR2_noEBV,8.009295908601501,MZ/C20,18.87743,17.9929,17.68779,17.37084,17.4065,,0.1153071,0.01670797,0.02016954,0.02493979,0.08082838,,SSSSSM,000002,,,,,,,,,,,,,,,7.221215293465464,1.6642374608841015E7,,,15372
31720,159.946152,47.932558,0,31.0538,4.5076,-0.8443125444140964,L19,FUV+WISE4,8.915687455585903,L19,SSFRLIKE,8.479109611477963,MZ/C20,15.288514137268066,14.382725715637207,14.082776069641113,13.88022232055664,13.849722862243652,14.586199760437,0.01926611363887787,0.0029433490708470345,0.00790656078606844,0.004885678179562092,0.029607225209474564,0.00482500018551946,NNNNNP,111111,0.0,PH,0.7666583973820768,0.08370006359849186,0.05699753267702785,0.05052230490377106,0.04212170143863254,,,,,,-0.8443125444140964,0.1431157581557882,8.915687455585903,8.235452290512642E8,1.7378008287493765E-10,-9.76,15401
132468,331.855339,-33.380944,0,38.032138838604226,9.759716,-1.0038980514761233,L19,WISE4,9.196101948523877,L19,W4W1,8.552407215159915,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,-1.0038980514761233,0.09910645651897904,9.196101948523877,1.570731482658733E9,6.30957344480193E-11,-10.200000000000001,15430
31730,159.99364,-30.193034,0,31.1889,7.756,-0.3496909277900402,L19,FUV+WISE4,10.10030907220996,L19,SSFRLIKE,8.733380486795935,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,-0.3496909277900402,0.4470015943999756,10.10030907220996,1.2598216639048883E10,3.548133892335753E-11,-10.450000000000001,15454
5808666,342.491677,12.692778,1,39.996506492081856,10.129577,,,,,,,,,22.43724,22.30288,22.31427,22.05395,22.18135,,0.7258802,0.1362639,0.1808842,0.2586802,1.00061,,SSSSSM,000002,,,,,,,,,,,,,,,,,,,15470
31738,160.018365,-30.267228,0,36.8362,7.1529,-0.14753524075018185,L19,FUV+WISE4,9.562464759249819,L19,SSFRLIKE,8.639679867112202,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,-0.14753524075018185,0.7119750245656361,9.562464759249819,3.6514449646601872E9,1.9498445997580422E-10,-9.71,15478
872424,192.142437,-18.128361,0,36.8878331473369,9.544059,,,,8.473260445390165,K23,g_r_PSDR2_noEBV,8.35851118799959,MZ/C20,,15.972523870676987,15.56442227594613,15.361839130363713,15.271143784527995,15.3379001617432,,0.002120913303720699,0.0016335807417259581,0.0019421778691524393,0.0029164924688162954,0.00580199994146824,MPPPPP,211111,,,,,,,,,,,,,,,8.473260445390165,2.973448667409803E8,,,15479
132480,332.132241,-34.284867,0,38.136480198060966,9.779347,-1.6446186793478745,L19,WISE4,9.225381320652126,L19,W4W1,8.559813674598175,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,-1.6446186793478745,0.02266633591137175,9.225381320652126,1.6802786943866658E9,1.3489628825916526E-11,-10.870000000000001,15518
